Handshake_ID,P-521_Time_ms,P-521_Bytes_Total,2,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,5,mlkem1024_Time_ms,mlkem1024_Bytes_Total
264,6.23,3963.0,,14.27,17466.0,,4.16,6602.0
265,1008.09,3963.0,,15.76,6734.0,,1032.61,6601.0
266,7002.2,3963.0,,14.8,12207.0,,4.06,6602.0
267,6.49,3963.0,,14.63,6734.0,,4.05,6601.0
268,3004.56,5225.0,,14.56,6735.0,,1009.97,6602.0
269,6.15,5225.0,,15.04,6734.0,,6.51,11941.0
270,6.17,3963.0,,17.32,6735.0,,4.25,6602.0
271,6.02,3963.0,,17.35,6734.0,,5.06,6601.0
272,6.36,6664.0,,14.6,6734.0,,6.14,6601.0
273,6.0,3963.0,,21.53,6735.0,,4.24,11065.0
274,6.32,6664.0,,14.41,6735.0,,4.55,16204.0
275,6.14,3963.0,,17.55,17466.0,,4.19,6601.0
276,6.13,3963.0,,15.01,6735.0,,6.05,11941.0
277,6.28,3963.0,,14.77,6735.0,,4.03,6602.0
278,7.47,3963.0,,16.58,6735.0,,4.46,6602.0
279,8.18,3963.0,,1033.04,6735.0,,4.36,6601.0
280,6.85,3963.0,,15.31,6735.0,,4.1,11941.0
281,7.19,6664.0,,14.92,17465.0,,6.73,17466.0
282,6.31,3963.0,,19.09,6733.0,,4.61,6601.0
283,6.18,7926.0,,14.52,12208.0,,7.68,11942.0
284,8.29,3963.0,,20.38,6735.0,,5.0,6602.0
285,8.87,3963.0,,15.48,6734.0,,4.21,6602.0
286,7.48,3963.0,,17.84,12208.0,,3.98,6602.0
287,5.85,3963.0,,14.36,6734.0,,4.13,16203.0
288,6.08,3963.0,,14.36,6735.0,,4.74,6601.0
289,6.0,7926.0,,14.25,12208.0,,4.46,6602.0
290,1005.89,3963.0,,1016.1,19989.0,,4.77,6602.0
291,1006.13,6664.0,,14.7,6734.0,,4.5,6601.0
292,6.17,3963.0,,14.59,6735.0,,4.33,6602.0
293,7.09,3963.0,,17.31,6733.0,,4.73,20074.0
294,6.08,3963.0,,24.76,6734.0,,5.28,6602.0
295,6.28,3963.0,,18.21,6734.0,,1031.8,17466.0
296,8.35,3963.0,,21.0,6735.0,,1013.32,21544.0
297,8.62,6487.0,,16.87,12208.0,,3.96,6601.0
298,6.74,6664.0,,14.78,6734.0,,4.03,6602.0
299,6.22,3963.0,,18.12,22939.0,,4.05,6602.0
300,5.95,3963.0,,16.38,12206.0,,4.53,6601.0
301,6.28,3963.0,,15.1,6735.0,,4.25,6602.0
302,6.98,6664.0,,1014.98,6734.0,,4.57,6602.0
303,6.81,3963.0,,18.67,12207.0,,4.39,6602.0
304,6.53,5225.0,,15.55,12208.0,,4.8,6601.0
305,6.91,3963.0,,18.53,6735.0,,1007.66,6602.0
306,6.24,3963.0,,14.97,6735.0,,4.1,6602.0
307,10.31,3963.0,,16.53,12208.0,,4.41,6602.0
308,1006.17,3963.0,,1017.11,6734.0,,5.73,6602.0
309,6.66,3963.0,,17.47,6734.0,,4.88,6602.0
310,6.21,3963.0,,15.08,6734.0,,4.04,16204.0
311,8.96,6664.0,,14.94,6735.0,,4.27,6601.0
312,8.1,3963.0,,16.03,6734.0,,1010.24,6601.0
313,8.53,3963.0,,14.51,6734.0,,4.28,17466.0
314,6.03,6664.0,,17.82,6735.0,,4.11,6602.0
315,1006.25,3963.0,,14.84,6735.0,,4.21,6602.0
316,5.87,3963.0,,14.4,6733.0,,4.07,6602.0
317,6.05,3963.0,,22.26,6735.0,,3.96,6602.0
318,8.24,3963.0,,14.82,6735.0,,1021.61,6602.0
319,7.89,3963.0,,15.29,6735.0,,4.37,21543.0
320,8.89,3963.0,,1031.35,6735.0,,1009.95,6602.0
321,6.17,3963.0,,17.51,6735.0,,1010.4,6601.0
322,6.75,3963.0,,18.48,6734.0,,4.83,6601.0
323,10.37,3963.0,,19.17,6735.0,,4.37,6601.0
324,6.25,3963.0,,16.84,6735.0,,4.34,6602.0
325,3005.67,3963.0,,20.91,6735.0,,4.31,6602.0
326,8.44,5225.0,,20.31,6734.0,,4.08,6602.0
327,6.48,6664.0,,18.35,32609.0,,4.12,6602.0
328,6.12,3963.0,,22.39,17466.0,,4.37,6601.0
329,7.34,3963.0,,23.39,6735.0,,4.37,11608.0
330,6.63,6664.0,,1020.02,6734.0,,4.63,6601.0
331,6.22,3963.0,,16.9,6733.0,,5.16,6602.0
332,6.16,5225.0,,20.45,17466.0,,4.25,6602.0
333,5.9,3963.0,,17.24,17466.0,,4.08,6600.0
334,1007.19,6664.0,,18.02,6734.0,,4.08,6601.0
335,6.1,3963.0,,17.73,6733.0,,4.94,16656.0
336,6.07,3963.0,,20.68,6735.0,,1011.45,6601.0
337,7.56,3963.0,,18.37,6734.0,,5.1,6602.0
338,6.0,3963.0,,17.0,6734.0,,4.44,6600.0
339,5.99,3963.0,,20.73,6734.0,,1009.12,6602.0
340,6.33,3963.0,,19.54,6735.0,,4.25,6602.0
341,6.08,3963.0,,17.75,6735.0,,4.4,6601.0
342,6.94,3963.0,,16.8,6735.0,,4.17,6601.0
343,6.14,3963.0,,16.05,6734.0,,4.23,6601.0
344,6.27,3963.0,,15.26,6733.0,,4.78,6602.0
345,7.56,3963.0,,19.43,6735.0,,1012.3,6600.0
346,7.76,3963.0,,18.15,17466.0,,4.62,6602.0
347,6.97,3963.0,,19.34,6734.0,,4.04,6602.0
348,6.22,5225.0,,20.12,6734.0,,4.04,6602.0
349,6.24,3963.0,,21.78,6734.0,,4.27,6601.0
350,7.63,3963.0,,17.11,6734.0,,4.29,11942.0
351,6.58,7926.0,,15.49,6734.0,,3.99,6601.0
352,7.67,6664.0,,16.77,6734.0,,4.42,6600.0
353,7.49,3963.0,,16.89,6734.0,,4.21,6601.0
354,6.37,3963.0,,17.52,17466.0,,4.26,16204.0
355,6.52,6664.0,,16.99,6734.0,,4.68,11608.0
356,8.91,10627.0,,15.47,6735.0,,1003.38,6602.0
357,7.09,3963.0,,14.71,6735.0,,3.98,11940.0
358,1006.43,3963.0,,14.43,6734.0,,4.21,6602.0
359,6.18,3963.0,,16.06,6733.0,,4.06,11941.0
360,6.95,3963.0,,14.54,17465.0,,4.64,6602.0
361,8.3,7926.0,,15.2,17465.0,,4.33,6601.0
362,6.39,3963.0,,15.24,6735.0,,1013.43,6601.0
363,10.65,3963.0,,1040.98,6734.0,,4.06,6602.0
364,6.55,3963.0,,1015.79,6734.0,,5.53,6602.0
365,7.59,3963.0,,23.68,6735.0,,4.17,6601.0
366,1006.42,6664.0,,16.29,6734.0,,4.05,6602.0
367,6.35,3963.0,,17.78,6734.0,,4.62,6601.0
368,6.32,3963.0,,1019.14,6735.0,,4.34,6602.0
369,6.75,3963.0,,1016.08,6734.0,,4.75,6600.0
370,8.79,6664.0,,15.13,6735.0,,5.97,6602.0
371,8.89,3963.0,,19.43,6735.0,,4.5,6600.0
372,7.98,3963.0,,14.85,12205.0,,4.33,6601.0
373,7.03,3963.0,,14.53,6735.0,,4.22,6602.0
374,7.11,5225.0,,14.44,6735.0,,5.08,6602.0
375,6.24,3963.0,,14.58,6734.0,,5.92,16203.0
376,7.03,3963.0,,14.68,6735.0,,4.12,6602.0
377,7.94,3963.0,,14.44,6734.0,,4.28,6601.0
378,6.63,5225.0,,16.28,6735.0,,5.55,6602.0
379,6.0,9365.0,,14.37,6734.0,,5.44,6601.0
380,5.94,3963.0,,14.64,6735.0,,3.99,6602.0
381,6.81,3963.0,,14.74,6735.0,,4.49,11608.0
382,6.96,3963.0,,1018.88,6735.0,,1013.42,6601.0
383,1007.18,5225.0,,14.61,6734.0,,1004.37,6602.0
