P-521,p521_mlkem1024,mlkem1024
836.72,26.98,6383.25
229.96,27.41,15.07
19.85,1057.56,1056.38
25.87,26.68,9.5
1279.27,1045.69,4766.35
18.89,4389.33,1432.25
19.45,30048.04,11.43
1262.51,3550.11,10.53
16846.44,3097.98,2090.57
432.67,27.52,9.25
18.73,31.03,219.41
1055.77,27.43,220.19
18.57,1286.03,1041.56
