Handshake_ID,P-521_Time_ms,P-521_Bytes_TCP,P-521_Bytes_TLS,P-521_Bytes_Total,4,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_TCP,p521_mlkem1024_Bytes_TLS,p521_mlkem1024_Bytes_Total,9,mlkem1024_Time_ms,mlkem1024_Bytes_TCP,mlkem1024_Bytes_TLS,mlkem1024_Bytes_Total
80,1041.21,420.0,1885.0,2305.0,,31.11,412.0,5013.0,5425.0,,9.5,412.0,4747.0,5159.0
81,219.71,412.0,1883.0,2295.0,,29.48,412.0,5012.0,5424.0,,13.32,2004.0,2202.0,4206.0
82,1669.45,3487.0,775.0,4262.0,,28.34,412.0,5012.0,5424.0,,1020.88,692.0,3299.0,3991.0
83,18.86,412.0,1885.0,2297.0,,1083.64,552.0,3565.0,4117.0,,624.76,5288.0,2202.0,7490.0
84,19.66,412.0,1884.0,2296.0,,28.34,412.0,5013.0,5425.0,,13.86,2004.0,2202.0,4206.0
85,18.39,412.0,1883.0,2295.0,,5641.93,626.0,3564.0,4190.0,,9.5,412.0,4747.0,5159.0
86,1061.38,560.0,1885.0,2445.0,,31.74,412.0,5013.0,5425.0,,9.13,412.0,4747.0,5159.0
87,19.77,412.0,1884.0,2296.0,,1033.74,692.0,3565.0,4257.0,,10.36,346.0,4747.0,5093.0
88,1043.38,420.0,1884.0,2304.0,,27.11,1165.0,5012.0,6177.0,,9.12,412.0,4747.0,5159.0
89,221.09,2228.0,775.0,3003.0,,27.84,412.0,5013.0,5425.0,,9.57,412.0,4746.0,5158.0
90,18.45,412.0,1885.0,2297.0,,30.58,2004.0,2335.0,4339.0,,13.58,2004.0,2202.0,4206.0
91,18.36,412.0,1885.0,2297.0,,27.02,412.0,5013.0,5425.0,,627.79,478.0,3298.0,3776.0
92,18.88,346.0,1885.0,2231.0,,27.2,412.0,5013.0,5425.0,,8.71,412.0,4747.0,5159.0
93,222.61,412.0,1885.0,2297.0,,29.95,1087.0,5012.0,6099.0,,8.52,412.0,4747.0,5159.0
94,19.11,346.0,1884.0,2230.0,,31.5,2004.0,2335.0,4339.0,,9.15,412.0,4746.0,5158.0
95,223.14,412.0,1885.0,2297.0,,27.02,1165.0,5012.0,6177.0,,8.58,412.0,4747.0,5159.0
96,19.26,412.0,1884.0,2296.0,,1083.63,692.0,3564.0,4256.0,,8.56,412.0,4746.0,5158.0
97,3110.71,634.0,1885.0,2519.0,,31.31,2004.0,2335.0,4339.0,,8.77,412.0,4745.0,5157.0
