Handshake_ID,P-384_Time_ms,P-384_Bytes_TCP,P-384_Bytes_TLS,P-384_Bytes_Total,4,x448_Time_ms,x448_Bytes_TCP,x448_Bytes_TLS,x448_Bytes_Total,9,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_TCP,p384_mlkem768_Bytes_TLS,p384_mlkem768_Bytes_Total,14,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_TCP,x448_mlkem768_Bytes_TLS,x448_mlkem768_Bytes_Total,19,mlkem768_Time_ms,mlkem768_Bytes_TCP,mlkem768_Bytes_TLS,mlkem768_Bytes_Total
98,9.6,412.0,1704.0,2116.0,,6.92,412.0,1622.0,2034.0,,16.14,412.0,3968.0,4380.0,,7.05,412.0,3886.0,4298.0,,5.09,346.0,3774.0,4120.0
99,12.99,412.0,1703.0,2115.0,,6.41,412.0,1622.0,2034.0,,16.03,412.0,3968.0,4380.0,,6.61,346.0,3887.0,4233.0,,8.21,2004.0,1818.0,3822.0
100,13.57,412.0,1703.0,2115.0,,6.39,412.0,1622.0,2034.0,,1020.76,692.0,4034.0,4726.0,,8.65,346.0,3886.0,4232.0,,5.58,412.0,3773.0,4185.0
101,12.4,412.0,1705.0,2117.0,,6.15,412.0,1623.0,2035.0,,19.76,2004.0,1915.0,3919.0,,10.34,2004.0,1874.0,3878.0,,9.25,2004.0,1818.0,3822.0
102,11.84,412.0,1705.0,2117.0,,6.04,412.0,1621.0,2033.0,,1872.59,692.0,4033.0,4725.0,,1446.3,2218.0,1874.0,4092.0,,8.32,2162.0,1818.0,3980.0
103,1021.99,626.0,1704.0,2330.0,,211.71,412.0,1622.0,2034.0,,15.77,667.0,3969.0,4636.0,,6.91,412.0,3886.0,4298.0,,9.53,2004.0,1818.0,3822.0
104,16.37,412.0,1705.0,2117.0,,7.16,346.0,1622.0,1968.0,,1258.7,2078.0,1915.0,3993.0,,6.67,412.0,3885.0,4297.0,,5.0,346.0,3774.0,4120.0
105,8.77,412.0,1705.0,2117.0,,6.24,412.0,1621.0,2033.0,,16.06,667.0,3968.0,4635.0,,10.73,2004.0,1874.0,3878.0,,1053.73,692.0,3840.0,4532.0
106,215.97,1005.0,1705.0,2710.0,,1027.5,626.0,1622.0,2248.0,,15.97,745.0,3969.0,4714.0,,6.99,412.0,3886.0,4298.0,,1012.85,692.0,3840.0,4532.0
107,422.74,412.0,2345.0,2757.0,,1011.96,420.0,1622.0,2042.0,,16.05,412.0,3968.0,4380.0,,6.61,412.0,3887.0,4299.0,,4.74,412.0,3773.0,4185.0
108,9.25,412.0,1704.0,2116.0,,1011.66,626.0,1621.0,2247.0,,16.13,412.0,3968.0,4380.0,,6.48,412.0,3886.0,4298.0,,4.75,346.0,3773.0,4119.0
109,1037.71,626.0,1705.0,2331.0,,5.82,412.0,1622.0,2034.0,,634.33,2004.0,1915.0,3919.0,,6.46,412.0,3885.0,4297.0,,212.99,2747.0,1818.0,4565.0
110,10.72,412.0,1704.0,2116.0,,6.1,412.0,1621.0,2033.0,,15.69,412.0,3968.0,4380.0,,6.5,412.0,3885.0,4297.0,,4.86,412.0,3775.0,4187.0
111,9.34,502.0,2024.0,2526.0,,5.62,346.0,1621.0,1967.0,,1255.75,552.0,4035.0,4587.0,,6.62,346.0,3886.0,4232.0,,4.83,412.0,3775.0,4187.0
112,9.47,412.0,1703.0,2115.0,,1439.04,560.0,1623.0,2183.0,,16.63,412.0,3969.0,4381.0,,6.5,412.0,3885.0,4297.0,,4117.92,774.0,3839.0,4613.0
113,8.75,412.0,1705.0,2117.0,,5.76,412.0,1621.0,2033.0,,15.71,412.0,3969.0,4381.0,,6.75,412.0,3886.0,4298.0,,4.98,412.0,3774.0,4186.0
114,422.16,412.0,1704.0,2116.0,,828.67,2146.0,1623.0,3769.0,,15.68,745.0,3968.0,4713.0,,1219.68,704.0,3388.0,4092.0,,4644.97,626.0,3840.0,4466.0
115,8.89,346.0,1703.0,2049.0,,5.41,346.0,1623.0,1969.0,,19.35,2004.0,1915.0,3919.0,,6.54,412.0,3885.0,4297.0,,1426.96,692.0,3841.0,4533.0
116,4637.78,560.0,1703.0,2263.0,,1005.89,420.0,1622.0,2042.0,,15.62,412.0,3968.0,4380.0,,10.49,2004.0,1874.0,3878.0,,4.92,412.0,3775.0,4187.0
117,8.74,412.0,1703.0,2115.0,,1218.6,626.0,1621.0,2247.0,,15.6,412.0,3968.0,4380.0,,1679.85,478.0,3952.0,4430.0,,4.66,346.0,3773.0,4119.0
118,9.53,412.0,1704.0,2116.0,,212.64,976.0,1623.0,2599.0,,20.93,2004.0,1915.0,3919.0,,213.63,2296.0,1874.0,4170.0,,8.88,2004.0,1818.0,3822.0
119,214.89,939.0,1704.0,2643.0,,5.53,346.0,1622.0,1968.0,,15.78,412.0,3969.0,4381.0,,1032.36,692.0,3952.0,4644.0,,4.97,412.0,3773.0,4185.0
120,8.73,412.0,1703.0,2115.0,,6.72,412.0,1622.0,2034.0,,230.07,478.0,4034.0,4512.0,,7.22,412.0,3886.0,4298.0,,5.0,412.0,3774.0,4186.0
121,8.59,412.0,1705.0,2117.0,,212.03,964.0,1621.0,2585.0,,16.14,412.0,3968.0,4380.0,,6.43,412.0,3885.0,4297.0,,1477.71,478.0,3839.0,4317.0
122,8.54,412.0,1703.0,2115.0,,7.07,412.0,1623.0,2035.0,,2110.45,478.0,4034.0,4512.0,,6.46,412.0,3887.0,4299.0,,4.86,346.0,3775.0,4121.0
123,212.88,1083.0,1704.0,2787.0,,2243.14,560.0,1622.0,2182.0,,632.27,478.0,4033.0,4511.0,,7.96,412.0,3885.0,4297.0,,7.88,2749.0,1818.0,4567.0
124,9.29,412.0,1705.0,2117.0,,5.73,412.0,1622.0,2034.0,,15.88,412.0,3968.0,4380.0,,9.81,2004.0,1874.0,3878.0,,4.63,412.0,3774.0,4186.0
125,9.0,412.0,1704.0,2116.0,,7.17,811.0,1942.0,2753.0,,226.23,478.0,4034.0,4512.0,,6.58,412.0,3886.0,4298.0,,4.66,412.0,3774.0,4186.0
126,9.24,412.0,1704.0,2116.0,,1232.56,560.0,1621.0,2181.0,,15.77,412.0,3969.0,4381.0,,1033.51,692.0,3952.0,4644.0,,4.63,412.0,3775.0,4187.0
127,8.95,412.0,1704.0,2116.0,,7.04,346.0,2264.0,2610.0,,1049.05,486.0,4033.0,4519.0,,6.45,412.0,3886.0,4298.0,,1067.49,692.0,3839.0,4531.0
