Protocol,Level,Delay_ms,KEM,Mean,Std,Count,Min,Max,Median,IdealMean,PctIncrease
TLS,3,5,mlkem768,25.084979999999998,0.7338616391465217,500,24.59,36.12,24.9,5.7140200000000005,339.007563851719
TLS,3,10,mlkem768,52.36582,160.28268032933158,500,44.78,3629.16,45.11,5.7140200000000005,816.444464667607
TLS,3,20,mlkem768,100.22576,226.43758460703413,500,85.19,3669.9,85.6,5.7140200000000005,1654.032362504856
TLS,3,0,p384_mlkem768,27.30698,160.25331503041076,500,15.42,3602.88,19.66,27.30698,0.0
TLS,3,1,p384_mlkem768,20.072380000000003,1.266040383283334,500,19.09,27.12,19.74,27.30698,-26.493592480750333
TLS,3,5,p384_mlkem768,43.79516,160.34512628958836,500,35.31,3621.9,36.29,27.30698,60.38082570829877
TLS,3,10,p384_mlkem768,63.55304,160.24228257675696,500,55.37,3639.36,56.04,27.30698,132.73551304465013
TLS,3,20,p384_mlkem768,111.72134,226.4372168756213,500,95.88,3681.09,96.86,27.30698,309.1310719823283
TLS,3,0,x448,7.0877,1.164482954406034,500,5.15,10.86,7.02,7.0877,0.0
TLS,3,1,x448,9.38402,0.4716670214868929,500,9.0,13.74,9.27,7.0877,32.39866247160574
TLS,3,5,x448,25.0519,2.6929049861680996,500,15.64,28.44,25.68,7.0877,253.4559871326382
TLS,3,10,x448,45.76476,1.0333235977734327,500,45.09,66.02,45.61,7.0877,545.6926788662049
TLS,3,20,x448,100.52864,226.40627899085166,500,85.41,3669.59,85.92500000000001,7.0877,1318.3534856159263
TLS,3,0,x448_mlkem768,8.17946,1.4533759705677154,500,6.28,13.39,7.54,8.17946,0.0
TLS,3,1,x448_mlkem768,10.56564,0.5627955829040175,500,10.15,13.81,10.42,8.17946,29.172830480251744
TLS,3,5,x448_mlkem768,27.17598,0.8571484390074955,500,26.22,37.58,26.95,8.17946,232.24662752797855
TLS,3,10,x448_mlkem768,46.842760000000006,1.0108822623315699,500,46.28,67.39,46.71,8.17946,472.6876835390112
TLS,3,20,x448_mlkem768,101.79212,226.40817330163057,500,86.65,3671.1,87.16,8.17946,1144.4845992278217
TLS,5,0,P-521,22.16328,3.5005148263790296,500,18.09,33.94,20.564999999999998,22.16328,0.0
TLS,5,1,P-521,29.35836,160.1677911615238,500,21.7,3603.64,22.115000000000002,22.16328,32.46396742720392
TLS,5,5,P-521,46.41408,160.33649625402077,500,37.93,3624.34,38.76,22.16328,109.41882248475856
TLS,5,10,P-521,65.7127,160.29139635051533,500,57.85,3642.65,58.32,22.16328,196.49356954385811
TLS,5,20,P-521,113.91892,226.4170260607935,500,98.46,3684.22,99.02,22.16328,413.99846954060956
TLS,5,0,mlkem1024,11.09444,2.060605657993665,500,8.68,19.63,10.175,11.09444,0.0
TLS,5,1,mlkem1024,13.0033,0.9505830454265983,500,12.3,19.15,12.69,11.09444,17.205555215044644
TLS,5,5,mlkem1024,29.65094,0.9552018307535609,500,28.88,40.82,29.31,11.09444,167.25945608791432
TLS,5,10,mlkem1024,48.9803,0.9738334627781345,500,48.57,69.56,48.9,11.09444,341.4851042504173
TLS,5,20,mlkem1024,89.76353999999999,1.9314341158547856,500,89.08,129.88,89.41,11.09444,709.0858123528541
TLS,5,0,p521_mlkem1024,32.96126,4.65926777130586,500,26.56,50.0,32.01,32.96126,0.0
TLS,5,1,p521_mlkem1024,31.28318,1.7742955607998765,500,30.05,41.85,30.84,32.96126,-5.09106751380257
TLS,5,5,p521_mlkem1024,55.39,160.33243679110825,500,46.47,3633.14,47.665,32.96126,68.04576038658715
TLS,5,10,p521_mlkem1024,74.3962,160.3296703156563,500,66.2,3652.08,66.86,32.96126,125.70799781319036
TLS,5,20,p521_mlkem1024,122.90322,226.43352846753976,500,107.08,3692.31,107.84,32.96126,272.87172881133785
