P-521,p521_mlkem1024,mlkem1024
6.0,17.03,4.29
7.75,15.18,4.22
6.1,14.91,4.15
5.83,20.66,4.52
6.45,17.56,4.47
5.87,15.07,4.19
5.99,16.81,3.99
6.62,1015.68,3.94
6.11,15.15,3.9
6.04,17.17,3.88
6.32,16.61,4.93
6.64,14.43,3.88
6.02,1024.06,4.04
5.86,15.27,4.11
6.54,19.78,4.02
6.3,21.97,4.06
5.79,16.39,3.98
5.69,18.77,3.83
6.1,14.37,5.75
5.8,21.13,4.16
8.13,19.76,4.26
6.33,21.92,3.9
5.73,14.32,3.94
6.05,15.01,1010.15
6.02,20.56,3.79
6.17,24.67,3.79
6.1,14.44,4.01
6.58,17.1,5.61
5.82,19.21,6.18
6.01,20.11,4.1
5.91,14.13,3.93
6.11,15.08,6.16
6.48,18.09,4.3
5.99,17.17,1009.84
7.75,21.47,4.04
6.15,14.62,3.94
7.27,14.62,4.11
7.19,14.54,3.96
10.05,14.0,4.23
6.5,16.41,3.88
5.96,21.5,3.85
6.06,14.52,3.9
6.22,14.99,5.91
6.78,14.15,3.97
5.97,14.23,4.01
7.47,21.14,4.12
5.78,16.57,3.95
5.99,20.76,3.83
6.1,22.29,3.95
6.66,1036.01,4.37
6.7,14.55,3.99
7.83,22.43,5.33
8.61,20.01,4.44
6.36,24.95,4.36
6.03,19.12,3.97
