Handshake_ID,P-521_Time_ms,P-521_Bytes_TCP,P-521_Bytes_TLS,P-521_Bytes_Total,4,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_TCP,p521_mlkem1024_Bytes_TLS,p521_mlkem1024_Bytes_Total,9,mlkem1024_Time_ms,mlkem1024_Bytes_TCP,mlkem1024_Bytes_TLS,mlkem1024_Bytes_Total
102,19.91,412.0,1886.0,2298.0,,27.03,412.0,5013.0,5425.0,,8.59,412.0,4747.0,5159.0
103,18.97,412.0,1885.0,2297.0,,30.29,2004.0,3566.0,5570.0,,8.68,412.0,4748.0,5160.0
104,24.79,412.0,1886.0,2298.0,,26.74,412.0,5013.0,5425.0,,8.54,412.0,4747.0,5159.0
105,24.45,412.0,1886.0,2298.0,,26.62,412.0,5014.0,5426.0,,8.83,412.0,4747.0,5159.0
106,19.0,412.0,1886.0,2298.0,,27.07,412.0,5014.0,5426.0,,8.92,412.0,4746.0,5158.0
107,18.42,412.0,1886.0,2298.0,,27.95,1165.0,5013.0,6178.0,,10.48,412.0,4748.0,5160.0
108,18.63,412.0,1885.0,2297.0,,26.28,412.0,5014.0,5426.0,,8.8,412.0,4746.0,5158.0
109,18.71,412.0,1886.0,2298.0,,27.04,412.0,5014.0,5426.0,,8.93,412.0,4748.0,5160.0
110,18.46,412.0,1886.0,2298.0,,26.35,412.0,5014.0,5426.0,,8.95,412.0,4748.0,5160.0
111,18.38,412.0,1886.0,2298.0,,26.35,412.0,5013.0,5425.0,,8.91,412.0,4748.0,5160.0
112,23.49,412.0,1886.0,2298.0,,27.58,412.0,5014.0,5426.0,,8.91,412.0,4747.0,5159.0
113,19.28,412.0,1885.0,2297.0,,27.06,412.0,5013.0,5425.0,,9.45,412.0,4748.0,5160.0
114,1035.6,626.0,1886.0,2512.0,,26.75,412.0,5014.0,5426.0,,8.68,412.0,4748.0,5160.0
115,18.08,412.0,1885.0,2297.0,,27.05,412.0,5014.0,5426.0,,8.85,412.0,4747.0,5159.0
116,17.93,412.0,1886.0,2298.0,,26.75,412.0,5013.0,5425.0,,8.46,412.0,4748.0,5160.0
117,18.26,412.0,1886.0,2298.0,,28.54,412.0,5013.0,5425.0,,8.62,412.0,4747.0,5159.0
118,17.99,412.0,1886.0,2298.0,,27.32,412.0,5013.0,5425.0,,1040.93,692.0,4814.0,5506.0
119,18.05,412.0,1886.0,2298.0,,27.37,412.0,5014.0,5426.0,,8.56,412.0,4748.0,5160.0
120,18.16,412.0,1885.0,2297.0,,28.82,412.0,5014.0,5426.0,,8.46,412.0,4747.0,5159.0
121,18.78,412.0,1885.0,2297.0,,26.46,412.0,5013.0,5425.0,,8.73,412.0,4748.0,5160.0
122,20.11,346.0,1886.0,2232.0,,26.94,412.0,5014.0,5426.0,,8.63,412.0,4747.0,5159.0
123,1041.97,626.0,1885.0,2511.0,,26.59,412.0,5013.0,5425.0,,8.48,412.0,4746.0,5158.0
124,18.88,412.0,1885.0,2297.0,,26.88,412.0,5013.0,5425.0,,1046.76,692.0,4813.0,5505.0
125,19.32,412.0,1885.0,2297.0,,26.72,412.0,5013.0,5425.0,,11.05,412.0,4748.0,5160.0
126,19.95,412.0,1886.0,2298.0,,27.34,412.0,5014.0,5426.0,,8.81,412.0,4747.0,5159.0
127,221.88,412.0,1886.0,2298.0,,29.3,412.0,5013.0,5425.0,,1029.88,692.0,4814.0,5506.0
128,19.85,412.0,1886.0,2298.0,,27.72,412.0,5013.0,5425.0,,8.48,412.0,4748.0,5160.0
129,18.83,412.0,1886.0,2298.0,,26.69,412.0,5013.0,5425.0,,8.79,412.0,4747.0,5159.0
130,18.94,412.0,1885.0,2297.0,,26.17,412.0,5012.0,5424.0,,8.43,412.0,4748.0,5160.0
131,19.84,412.0,1885.0,2297.0,,26.44,412.0,5013.0,5425.0,,8.56,412.0,4746.0,5158.0
132,18.81,412.0,1886.0,2298.0,,26.4,412.0,5013.0,5425.0,,8.39,412.0,4748.0,5160.0
133,19.02,412.0,1885.0,2297.0,,28.69,412.0,5013.0,5425.0,,8.43,412.0,4747.0,5159.0
134,20.74,412.0,1886.0,2298.0,,27.19,412.0,5014.0,5426.0,,8.81,412.0,4747.0,5159.0
135,19.42,412.0,1886.0,2298.0,,26.61,412.0,5014.0,5426.0,,8.74,412.0,4747.0,5159.0
136,19.95,346.0,2528.0,2874.0,,26.66,412.0,5014.0,5426.0,,8.46,412.0,4746.0,5158.0
137,1048.84,560.0,1886.0,2446.0,,26.27,412.0,5013.0,5425.0,,8.52,412.0,4746.0,5158.0
138,18.62,412.0,1886.0,2298.0,,26.57,412.0,5014.0,5426.0,,8.34,412.0,4747.0,5159.0
139,1045.56,626.0,1886.0,2512.0,,26.21,412.0,5013.0,5425.0,,8.62,412.0,4747.0,5159.0
140,19.82,412.0,1886.0,2298.0,,27.21,412.0,5014.0,5426.0,,8.4,412.0,4747.0,5159.0
141,19.22,412.0,1885.0,2297.0,,27.12,412.0,5014.0,5426.0,,8.41,412.0,4746.0,5158.0
142,18.73,412.0,1886.0,2298.0,,26.24,412.0,5014.0,5426.0,,8.46,412.0,4748.0,5160.0
143,23.82,412.0,1884.0,2296.0,,26.2,412.0,5014.0,5426.0,,8.58,412.0,4748.0,5160.0
144,19.73,412.0,1886.0,2298.0,,26.26,412.0,5013.0,5425.0,,8.8,412.0,4747.0,5159.0
145,26.92,412.0,1886.0,2298.0,,26.41,412.0,5014.0,5426.0,,8.79,412.0,4747.0,5159.0
146,19.72,412.0,1885.0,2297.0,,26.86,412.0,5014.0,5426.0,,8.48,412.0,4747.0,5159.0
147,18.72,412.0,1885.0,2297.0,,26.94,412.0,5013.0,5425.0,,8.44,412.0,4748.0,5160.0
148,20.22,412.0,1886.0,2298.0,,28.39,412.0,5014.0,5426.0,,9.61,412.0,4747.0,5159.0
149,20.86,412.0,1886.0,2298.0,,27.03,1165.0,5013.0,6178.0,,8.49,412.0,4748.0,5160.0
150,21.57,412.0,1886.0,2298.0,,26.39,412.0,5013.0,5425.0,,1052.91,692.0,4812.0,5504.0
151,20.15,412.0,1886.0,2298.0,,26.25,412.0,5013.0,5425.0,,8.53,412.0,4747.0,5159.0
