P-521,p521_mlkem1024,mlkem1024
19.59,34.06,9.7
18.56,34.94,9.94
19.05,29.15,9.75
18.09,35.23,9.49
25.12,28.47,8.76
19.28,26.8,9.49
19.16,37.93,9.12
19.06,38.2,9.33
19.63,37.61,8.84
29.14,37.09,9.0
24.38,29.41,9.25
28.5,34.87,9.19
25.64,28.49,8.9
26.5,29.03,9.75
27.04,40.68,9.47
27.76,34.59,9.69
32.21,39.42,9.59
25.97,28.25,9.01
26.0,29.3,9.02
25.09,30.88,8.89
25.05,28.79,8.96
21.81,36.03,9.31
19.33,36.39,9.2
21.27,29.81,9.2
23.33,28.04,8.91
22.71,29.18,9.17
19.01,27.27,9.57
20.58,37.94,9.56
23.01,26.78,10.06
28.31,33.48,9.91
25.65,30.34,9.52
19.5,29.22,9.92
19.88,50.0,9.72
25.33,48.04,9.46
26.59,39.43,9.47
21.93,37.28,9.39
22.62,40.3,9.54
23.12,33.09,9.46
26.86,38.37,9.84
21.39,32.49,9.62
25.55,32.87,9.23
24.9,41.2,12.25
20.43,28.32,12.92
22.37,28.48,9.3
