P-521,p521_mlkem1024,mlkem1024
6.22,14.12,3.98
3004.81,1038.15,4.13
8.76,13.94,4.81
7.95,13.91,4.37
1006.33,14.06,5.75
6.38,13.65,4.43
6.22,13.92,4.06
6.67,13.8,4.15
6.11,14.6,4.11
1006.4,1014.74,1003.63
8.76,1017.6,5.08
6.22,1040.64,4.92
6.36,14.32,1017.81
7002.15,14.39,4.09
6.34,14.63,4.04
8.96,14.81,4.28
6.42,14.89,4.19
8.63,20.65,4.24
1008.51,1040.05,1031.82
6.3,1017.83,1032.03
1006.64,21.79,4.17
6.21,14.13,4.31
3004.58,13.88,5.48
3004.47,14.62,4.35
6.2,14.28,4.37
6.34,13.79,4.15
7002.34,20.36,4.55
6.02,14.24,6.12
6.03,14.05,5.47
6.6,14.37,4.24
6.17,14.4,1004.53
7.76,14.73,4.88
6.14,21.75,4.17
5.73,14.34,4.79
3006.78,14.7,5.33
8.59,14.19,4.83
7.5,15.3,1011.0
6.25,18.43,6.17
8.79,14.94,4.25
8.28,1021.29,6.11
6.13,14.05,6.13
1005.99,14.62,4.19
9.4,1027.31,4.48
8.05,14.45,4.33
7.09,1039.45,4.33
8.44,1039.06,4.56
6.24,13.93,1033.29
8.17,1034.52,4.8
1006.34,22.25,4.29
1006.03,1030.08,4.17
6.12,14.45,5.23
8.08,14.95,1018.16
1007.43,16.3,4.46
6.26,15.06,4.27
6.6,14.9,1031.91
6.51,20.28,4.16
7.02,16.72,1010.29
6.49,14.54,4.66
6.63,14.95,1028.59
1008.02,21.47,4.35
8.96,1022.18,4.21
1005.83,17.34,4.11
7.87,15.14,1010.13
6.32,15.27,4.32
7.39,15.5,4.27
6.41,1043.9,1008.36
8.55,15.62,1031.6
3005.9,15.72,4.35
7.66,1017.21,4.27
6.54,16.34,4.29
6.61,20.21,5.25
6.82,1125.62,5.96
6.87,16.55,4.4
7002.84,17.26,4.15
8.8,14.82,5.52
6.31,1036.11,4.14
7.23,15.42,4.47
6.04,15.67,4.42
6.24,14.87,4.13
6.12,17.99,4.2
5.99,1024.4,4.39
6.28,15.51,6.21
8.46,15.48,4.47
1006.44,1041.34,4.5
6.01,1014.77,1011.23
8.53,15.18,4.4
1006.26,18.55,1011.61
1006.52,1038.93,5.91
1007.96,14.98,6.76
6.12,1022.54,1011.45
6.47,14.25,4.16
1006.09,1017.01,4.3
5.99,17.7,4.34
6.12,15.16,4.62
7.52,14.14,4.34
1006.38,1042.77,4.92
6.14,23.54,1010.74
1006.24,1016.87,1003.67
8.8,14.01,4.82
6.26,1017.66,4.3
8.17,1015.68,5.98
6.8,15.6,5.38
6.83,19.1,4.96
6.09,14.54,1003.72
1006.22,1024.81,4.38
6.12,15.27,4.21
6.09,1028.42,4.21
6.01,1042.78,5.49
5.89,15.79,5.16
7.99,1050.31,4.76
6.1,1014.85,4.22
6.27,14.78,4.33
7.5,13.95,4.13
1006.34,3016.84,5.49
8.75,1039.31,4.28
6.37,13.8,4.93
6.12,14.98,1031.98
6.11,14.04,4.22
6.17,13.93,4.54
6.8,14.3,4.94
8.08,13.92,1009.84
6.56,15.33,4.87
1007.32,14.04,4.36
7.45,13.87,5.47
1006.6,14.96,4.13
8.7,14.25,5.92
6.39,13.58,5.4
1006.5,15.21,1058.15
6.12,1038.34,4.27
6.4,14.58,4.23
6.18,1093.68,4.17
6.23,1032.83,4.26
8.12,15.19,4.16
1006.59,15.21,4.29
7.98,14.03,4.52
6.92,16.09,1101.75
7.28,14.12,4.21
1007.26,14.58,5.2
6.2,16.01,5.1
6.17,1025.3,1004.39
8.43,15.87,4.52
3005.61,1040.68,4.5
6.45,15.56,5.34
1006.82,15.42,4.55
6.4,16.2,4.28
5.9,17.25,4.43
1006.11,14.56,1032.78
10.66,14.9,1010.44
6.29,15.56,5.82
8.02,3083.64,4.82
7.32,1047.06,4.53
6.54,17.6,5.93
6.87,14.04,4.32
6.31,3027.97,3030.96
6.16,1026.22,6.26
6.4,1016.29,4.45
6.51,14.51,6.32
6.48,1017.95,6.7
7.16,13.56,4.32
6.49,14.96,6.23
6.28,1014.87,4.96
6.11,17.97,1036.71
1005.96,17.74,4.4
7.11,19.26,4.15
6.36,14.28,4.28
6.33,14.33,1017.6
6.73,14.91,4.69
9.07,1203.12,4.14
9.19,1015.72,4.1
6.61,15.36,1030.44
6.13,1022.54,4.16
6.41,19.04,1010.87
6.51,17.29,4.27
1006.26,15.05,4.26
1006.68,14.72,4.75
6.4,14.54,4.15
9.0,15.58,4.88
6.32,1018.77,4.68
8.34,14.62,4.89
6.17,16.04,4.37
6.22,14.42,4.4
7.07,14.5,4.37
6.01,14.34,1030.73
1006.85,3214.93,4.13
6.09,14.35,4.28
7.79,14.46,4.14
6.36,14.54,4.22
1006.12,21.36,4.16
3004.68,14.77,5.36
3006.79,14.46,4.16
5.89,14.48,4.24
6.08,14.71,4.32
6.84,1064.16,4.13
1006.37,21.8,4.41
6.16,15.09,4.19
1006.25,15.41,5.92
6.04,22.15,4.42
6.27,1016.51,4.75
3005.59,20.78,4.13
9.65,1015.26,4.2
6.47,16.99,1031.94
9.46,14.25,1021.99
1005.99,18.87,1004.2
8.19,14.53,1030.86
6.4,16.55,1062.84
6.13,17.5,4.15
6.3,1016.91,1010.71
7.95,14.99,4.82
8.42,14.75,1031.92
6.42,14.7,4.33
3005.55,21.26,4.22
6.85,15.31,1010.55
6.75,15.14,4.15
1006.42,16.33,5.2
1006.56,22.75,5.79
6.83,18.45,4.16
6.41,15.56,3002.95
6.54,19.83,4.85
7.92,15.24,4.75
6.37,15.34,4.39
7.85,14.89,4.5
3006.58,22.32,4.69
8.54,15.95,4.45
6.23,15.29,1032.68
6.48,1017.39,4.25
7.93,15.18,4.43
7.88,16.2,4.0
6.33,19.21,3.94
6.63,15.17,4.56
8.73,15.19,6.36
8.92,16.63,5.91
9.43,15.23,1012.95
7.45,14.91,5.0
9.81,15.66,4.42
1006.03,17.21,5.81
8.97,1034.92,4.05
6.57,16.47,4.5
1007.61,15.15,1026.63
6.88,15.27,1012.48
1006.54,18.07,4.14
8.95,16.96,4.11
1006.29,17.03,5.12
1006.31,16.98,1010.04
6.15,15.73,4.35
6.08,1016.6,4.27
3006.24,16.4,4.46
8.95,1034.39,1010.74
6.4,14.36,1011.29
6.21,1016.57,1009.65
1006.27,14.52,4.6
6.11,20.05,1012.96
8.99,18.42,4.1
6.16,14.73,3.99
3005.2,14.63,5.75
6.4,25.09,1010.26
6.35,17.12,4.43
6.1,1017.06,5.09
6.26,18.58,4.18
6.52,3010.69,4.33
6.12,14.83,1195.68
1006.02,15.82,4.37
6.22,17.93,4.17
6.23,1093.22,3.93
6.52,1016.18,5.8
6.22,14.8,4.31
6.27,14.33,4.29
3004.76,15.02,4.18
8.5,14.89,4.4
6.33,14.54,4.14
7.93,21.14,1031.32
6.22,14.94,6.25
8.59,15.47,4.85
7.4,14.91,4.25
9.34,17.58,4.2
7.89,14.57,3.9
6.14,14.8,1010.12
8.32,15.82,4.07
7001.99,17.78,3.95
1006.06,14.76,4.22
6.66,21.3,4.27
6.85,21.49,4.91
6.97,14.69,4.86
6.32,1203.21,4.19
7.43,15.58,1020.2
6.93,1144.43,1033.24
3004.41,14.78,4.24
8.33,14.35,4.53
6.75,1015.52,4.29
6.56,15.15,1034.09
6.24,14.87,5.56
6.45,15.49,4.21
6.22,1038.99,5.54
6.29,17.72,4.3
6.28,1038.88,4.05
1006.35,1093.04,4.19
6.26,1015.39,4.09
6.13,1019.44,4.74
7.87,15.21,4.25
1006.53,15.93,1015.29
1007.6,17.27,4.88
8.64,1035.87,5.43
6.53,22.32,4.77
6.39,1016.58,5.15
6.78,15.37,4.19
6.13,21.42,1012.85
1005.67,14.44,6.24
6.1,14.7,6.48
6.29,1092.97,5.98
6.13,14.41,4.9
1006.45,3055.9,1029.44
,17.88,6.08
