Handshake_ID,P-384_Time_ms,P-384_Bytes_TCP,P-384_Bytes_TLS,P-384_Bytes_Total,4,x448_Time_ms,x448_Bytes_TCP,x448_Bytes_TLS,x448_Bytes_Total,9,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_TCP,p384_mlkem768_Bytes_TLS,p384_mlkem768_Bytes_Total,14,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_TCP,x448_mlkem768_Bytes_TLS,x448_mlkem768_Bytes_Total,19,mlkem768_Time_ms,mlkem768_Bytes_TCP,mlkem768_Bytes_TLS,mlkem768_Bytes_Total
49,13.16,412.0,1703.0,2115.0,,5.56,412.0,1623.0,2035.0,,16.83,412.0,3968.0,4380.0,,6.68,412.0,3885.0,4297.0,,5.17,346.0,3773.0,4119.0
50,1047.1,626.0,1704.0,2330.0,,5.52,346.0,1622.0,1968.0,,16.56,412.0,3968.0,4380.0,,6.52,412.0,3886.0,4298.0,,5.42,346.0,3773.0,4119.0
51,9.28,346.0,1704.0,2050.0,,8.03,412.0,1621.0,2033.0,,16.67,412.0,3968.0,4380.0,,1043.36,692.0,3952.0,4644.0,,7.03,412.0,3775.0,4187.0
52,9.11,412.0,1704.0,2116.0,,1228.99,626.0,1622.0,2248.0,,16.79,412.0,3968.0,4380.0,,6.85,412.0,3885.0,4297.0,,4.94,412.0,3774.0,4186.0
53,10.75,412.0,1703.0,2115.0,,5.79,412.0,1622.0,2034.0,,16.99,412.0,3969.0,4381.0,,6.81,346.0,3885.0,4231.0,,7.23,412.0,3775.0,4187.0
54,9.07,412.0,1703.0,2115.0,,1043.21,626.0,1621.0,2247.0,,16.74,412.0,3967.0,4379.0,,6.81,412.0,3886.0,4298.0,,6.21,412.0,3774.0,4186.0
55,1061.67,626.0,1705.0,2331.0,,211.15,412.0,1621.0,2033.0,,15.95,412.0,3968.0,4380.0,,6.53,412.0,3886.0,4298.0,,5.45,346.0,3774.0,4120.0
56,9.63,346.0,1704.0,2050.0,,5.64,412.0,1622.0,2034.0,,223.83,2004.0,2519.0,4523.0,,9.83,412.0,3887.0,4299.0,,5.23,412.0,3774.0,4186.0
57,8.5,412.0,1705.0,2117.0,,5.63,412.0,1622.0,2034.0,,16.17,412.0,3967.0,4379.0,,6.84,412.0,3887.0,4299.0,,5.34,412.0,3774.0,4186.0
58,1039.38,626.0,1704.0,2330.0,,5.6,412.0,1623.0,2035.0,,16.6,412.0,3968.0,4380.0,,6.61,412.0,3887.0,4299.0,,5.14,412.0,3774.0,4186.0
