P-521,p521_mlkem1024,mlkem1024
8.16,17.47,6.25
7.89,16.45,6.28
10.09,16.17,7.03
8.04,16.22,6.52
7.79,16.0,6.47
8.02,16.97,7.2
7.87,16.91,6.38
8.6,22.74,6.62
7.74,24.79,6.53
7.81,17.64,7.08
7.95,18.95,6.27
8.2,19.9,6.32
8.06,16.33,6.81
7.91,16.48,7.39
8.02,16.08,6.51
8.06,17.56,6.75
8.01,18.37,7.9
8.27,16.81,7.19
8.36,15.87,6.76
7.93,16.78,6.25
7.7,16.19,6.03
8.01,19.83,6.41
7.95,17.3,6.41
8.27,16.74,6.07
7.91,16.79,6.51
8.54,23.32,7.0
8.09,24.36,6.46
8.04,17.33,6.22
7.72,18.57,6.36
8.26,24.46,7.3
10.9,16.33,6.83
8.13,16.23,7.08
8.02,17.18,7.42
8.46,23.66,6.53
8.02,15.97,6.2
8.16,16.91,6.28
8.18,16.77,6.85
8.01,16.26,6.4
8.77,16.47,8.64
7.83,17.42,6.28
8.32,17.2,6.73
8.6,20.16,7.16
7.99,16.57,5.93
8.05,16.25,7.55
7.87,17.33,8.2
7.86,16.96,6.25
7.78,16.65,6.09
8.05,17.01,5.96
7.94,19.16,6.26
7.92,16.19,6.24
8.01,16.32,6.18
8.28,17.61,6.26
8.44,16.16,6.29
8.53,16.69,6.02
8.36,17.61,6.28
10.97,24.57,6.32
8.64,17.03,6.26
10.37,21.03,6.23
8.49,17.72,6.24
10.68,17.8,6.46
8.13,17.02,8.16
8.15,17.42,6.49
10.61,19.45,6.03
8.7,16.83,6.52
8.39,22.95,7.21
8.88,17.32,6.54
10.89,17.02,6.77
8.45,18.35,6.35
12.65,16.99,6.23
8.48,22.74,6.51
8.3,17.63,6.38
9.7,17.53,7.08
8.1,17.5,6.22
8.13,20.97,6.25
8.39,16.91,6.01
10.34,17.11,6.13
8.2,17.3,6.3
8.16,16.88,5.94
8.06,19.1,5.88
8.05,17.83,5.87
9.51,16.88,5.91
8.4,17.14,6.06
8.26,16.41,6.12
9.48,17.25,6.18
8.94,16.96,6.13
10.71,17.07,6.11
8.36,17.05,5.99
8.31,17.21,6.16
8.32,16.75,6.62
8.68,19.25,6.04
11.37,17.06,6.07
8.49,16.07,6.18
8.42,17.62,5.95
8.45,16.36,6.14
7.97,23.53,6.22
7.86,17.59,6.32
8.09,16.77,6.09
8.12,16.66,6.36
7.94,18.05,6.28
7.9,16.83,6.31
8.14,16.59,6.38
8.11,19.1,6.19
7.98,17.2,6.16
7.79,17.8,6.34
7.92,18.37,6.35
9.52,18.45,6.01
8.17,18.11,6.2
8.16,16.88,6.03
8.01,25.11,6.08
8.0,16.86,6.17
7.89,17.25,6.11
