P-521,p521_mlkem1024,mlkem1024
1030.68,29.46,12.84
19.41,35.07,1022.39
18.6,32.23,1015.36
18.89,246.97,9.44
1054.05,27.27,9.68
19.15,31.03,9.13
25.25,28.16,9.61
25.17,27.91,9.4
226.3,31.7,1034.84
1054.8,1443.95,16.51
19.52,31.14,8.96
19.28,27.03,8.97
19.62,1032.9,9.91
19.86,27.88,8.79
20.13,27.14,10.81
839.59,27.39,12.31
4613.42,27.1,1433.32
1075.74,232.75,8.67
18.37,27.19,8.82
20.6,1295.25,9.18
17.8,27.19,220.45
18.02,1094.33,8.99
17.94,27.74,9.53
26.35,27.58,9.76
18.54,27.5,10.62
18.32,1304.62,9.34
2684.22,33.21,1072.93
18.4,29.8,8.87
1880.06,29.54,8.8
19.08,29.93,626.84
23.12,28.44,10.88
1019.82,28.54,8.8
18.53,27.34,2086.67
18.77,27.4,8.91
18.35,27.94,8.96
