Handshake_ID,P-521_Time_ms,P-521_Bytes_Total,2,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,5,mlkem1024_Time_ms,mlkem1024_Bytes_Total
135,5.84,3963.0,,14.38,-1.0,,4.33,6602.0
136,1005.99,3963.0,,15.21,8714.0,,4.54,6602.0
137,3004.91,3963.0,,14.04,6734.0,,4.62,6600.0
138,5.87,5402.0,,16.2,-1.0,,1014.15,6601.0
139,1006.03,3963.0,,19.68,6735.0,,4.42,6602.0
140,5.95,3963.0,,16.05,6735.0,,6.08,8630.0
141,5.8,3963.0,,15.6,6735.0,,6.02,6602.0
142,5.91,-1.0,,14.03,6735.0,,1012.38,8716.0
143,7.44,5402.0,,22.64,6735.0,,4.39,6602.0
144,5.91,3963.0,,14.42,8715.0,,4.51,6602.0
145,5.97,3963.0,,14.79,-1.0,,1031.29,6602.0
146,3004.81,3963.0,,17.6,8715.0,,5.82,6602.0
147,8.79,5402.0,,15.35,6735.0,,1013.41,6602.0
148,7.69,3963.0,,21.35,6734.0,,5.04,6601.0
149,5.88,3963.0,,14.67,8716.0,,4.65,6601.0
150,6.43,5402.0,,14.52,9725.0,,4.78,6601.0
151,7.15,3963.0,,1064.03,10698.0,,4.64,6602.0
152,1005.48,-1.0,,1015.71,-1.0,,7000.18,6601.0
153,5.76,3963.0,,16.05,-1.0,,4.59,6602.0
154,5.93,3963.0,,14.43,15111.0,,5.71,8714.0
155,5.77,3963.0,,14.79,6734.0,,1021.39,6602.0
156,5.73,3963.0,,13.93,6735.0,,3071.55,6602.0
157,1005.8,3963.0,,14.76,6735.0,,4.59,6602.0
158,5.85,3963.0,,18.62,8716.0,,6.06,8630.0
159,5.68,3963.0,,1018.36,8716.0,,5.47,6602.0
160,6.37,3963.0,,1015.66,6734.0,,7.11,9457.0
161,1005.79,3963.0,,15.08,6735.0,,6.38,6601.0
162,5.86,3963.0,,1095.17,6733.0,,1032.5,6601.0
163,6.0,3963.0,,14.32,6734.0,,6.83,6602.0
164,6.46,3963.0,,14.2,8714.0,,1012.79,6601.0
165,7.65,3963.0,,16.68,6735.0,,6.22,6602.0
166,1006.13,3963.0,,14.67,6735.0,,4.33,6602.0
167,1005.67,3963.0,,16.83,6734.0,,4.14,6602.0
168,1006.07,5402.0,,1041.14,6734.0,,4.06,6602.0
169,6.68,3963.0,,14.79,6735.0,,4.13,8631.0
170,5.71,5402.0,,1032.29,6735.0,,5.74,8716.0
171,6.34,3963.0,,1017.73,9724.0,,5.36,6601.0
172,6.04,3963.0,,16.55,6734.0,,4.26,6601.0
173,1006.13,3963.0,,14.05,6734.0,,4.47,6601.0
174,6.12,3963.0,,1017.27,6733.0,,4.43,6601.0
175,6.96,3963.0,,14.42,6734.0,,5.94,6602.0
176,6.23,3963.0,,20.08,6735.0,,1020.22,4839.0
177,6.05,5402.0,,1172.48,12587.0,,4.57,6602.0
178,3004.93,3963.0,,14.89,6735.0,,4.55,6601.0
179,8.61,3963.0,,14.28,6735.0,,4.59,6601.0
180,3004.55,3963.0,,17.22,9725.0,,1031.49,6602.0
181,6.52,3963.0,,3012.65,8716.0,,4.31,6602.0
182,6.32,3963.0,,1038.37,6735.0,,5.01,6602.0
183,8.71,3963.0,,15.18,6735.0,,4.42,6601.0
184,5.95,3963.0,,19.46,6735.0,,4.42,6601.0
185,6.18,3963.0,,18.64,6735.0,,5.58,6601.0
186,6.22,5402.0,,1015.54,6735.0,,5.79,6602.0
187,1005.61,3963.0,,1037.32,6734.0,,4.42,6602.0
188,6.14,3963.0,,14.15,6735.0,,4.94,6602.0
189,5.85,3963.0,,14.66,6735.0,,4.41,9460.0
190,5.9,3963.0,,15.05,6735.0,,4.33,6602.0
191,6.49,3963.0,,15.74,6734.0,,4.72,6601.0
192,6.19,5402.0,,1018.47,6734.0,,1032.0,6601.0
193,6.29,3963.0,,13.86,6735.0,,1014.05,6600.0
194,6.15,3963.0,,14.19,6735.0,,6.12,6601.0
195,6.14,3963.0,,14.34,6735.0,,4.36,6601.0
196,6.44,3963.0,,21.99,6735.0,,4.58,-1.0
197,5.92,3963.0,,14.45,6734.0,,4.34,-1.0
198,6.02,3963.0,,14.75,6734.0,,5.09,8715.0
199,6.05,3963.0,,13.99,6734.0,,1031.72,6601.0
200,5.99,3963.0,,18.76,8716.0,,5.7,9459.0
201,5.86,5402.0,,13.99,6735.0,,5.88,6602.0
202,5.75,3963.0,,17.94,6734.0,,4.33,6601.0
203,1006.49,3963.0,,14.09,6735.0,,5.54,6601.0
204,6.55,3963.0,,13.74,6735.0,,4.24,6601.0
205,7.68,3963.0,,14.05,6734.0,,5.94,6602.0
206,6.12,3963.0,,1027.87,8715.0,,5.94,-1.0
207,5.92,3963.0,,17.26,9725.0,,5.43,6601.0
208,1007.53,3963.0,,14.45,6735.0,,6.08,6602.0
209,6.18,3963.0,,18.71,4839.0,,4.9,7697.0
210,6.07,3963.0,,14.29,6107.0,,6.33,6602.0
211,6.62,3963.0,,1016.88,6734.0,,4.57,6601.0
212,6.01,3963.0,,14.04,6735.0,,4.33,6602.0
213,5.81,3963.0,,14.0,6733.0,,6.42,6601.0
214,6.04,5402.0,,14.43,-1.0,,5.1,6600.0
215,1006.45,3963.0,,14.43,8716.0,,4.44,6601.0
216,7.16,3963.0,,14.6,6733.0,,4.6,6601.0
217,6.19,3963.0,,14.76,6734.0,,4.96,6602.0
218,6.22,3963.0,,15.11,6734.0,,6.32,8715.0
219,1006.14,6841.0,,14.82,9723.0,,6.42,6601.0
220,6.49,3963.0,,14.21,6734.0,,4.75,6602.0
221,5.95,3963.0,,15.51,11706.0,,5.73,-1.0
222,6.46,3963.0,,14.54,6734.0,,1012.95,8715.0
223,6.8,3963.0,,14.16,6735.0,,3009.37,6602.0
224,8.95,3963.0,,14.37,-1.0,,4.82,6602.0
225,5.94,3963.0,,13.77,8715.0,,5.28,6601.0
226,6.0,3963.0,,14.36,6734.0,,6.75,6602.0
227,5.92,3963.0,,14.27,6734.0,,4.37,6602.0
228,6.89,3963.0,,14.17,6735.0,,5.1,9458.0
229,3004.86,3963.0,,16.04,6734.0,,4.56,6602.0
230,5.9,3963.0,,1017.07,6735.0,,4.34,6601.0
231,5.96,3963.0,,15.05,-1.0,,4.24,6602.0
232,5.83,3963.0,,14.65,9723.0,,1031.94,6602.0
233,6.16,3963.0,,14.55,8714.0,,4.38,6601.0
234,5.95,3963.0,,15.12,6735.0,,4.29,8715.0
235,5.85,5402.0,,13.9,7829.0,,4.3,6602.0
236,1006.03,3963.0,,1017.17,6734.0,,1032.3,6602.0
237,6.07,3963.0,,14.06,8929.0,,5.92,8715.0
238,5.96,3963.0,,14.04,6735.0,,5.93,6601.0
239,9.08,3963.0,,13.9,6735.0,,4.55,6601.0
240,6.18,3963.0,,1040.26,6734.0,,4.3,15176.0
241,6.65,3963.0,,1230.23,6734.0,,1003.73,6602.0
242,6.67,3963.0,,15.78,6733.0,,4.35,6602.0
243,6.43,5402.0,,16.78,6734.0,,5.69,6602.0
244,1006.57,5402.0,,16.28,6734.0,,4.43,6601.0
245,5.91,3963.0,,14.64,6734.0,,1010.38,6600.0
246,6.63,3963.0,,1014.6,12714.0,,5.03,6602.0
247,8.27,3963.0,,17.08,-1.0,,6.01,6602.0
248,5.94,3963.0,,16.35,6734.0,,5.97,9460.0
249,5.72,3963.0,,18.63,6735.0,,3009.23,6601.0
250,5.99,5402.0,,14.68,6734.0,,4.45,6601.0
251,1005.7,3963.0,,13.88,9726.0,,4.48,9460.0
252,1005.83,3963.0,,14.96,6734.0,,5.99,6602.0
253,9.21,3963.0,,18.25,6735.0,,4.32,6602.0
254,6.63,3963.0,,1017.82,6734.0,,6.15,8929.0
255,7.63,3963.0,,14.66,6733.0,,4.29,6602.0
256,3004.93,3963.0,,14.03,12715.0,,5.73,6600.0
257,1005.73,5402.0,,1172.57,6735.0,,4.57,6602.0
258,7.63,3963.0,,1016.95,6735.0,,5.97,9460.0
